param_CITIC_LIMIT,param_CMVG_LIMIT,param_STK_HOLD_LIMIT,param_OTHER_LIMIT,param_STK_BUY_R,param_TURN_MAX,param_MEM_HOLD,年化收益,年化波动,夏普比率,累计收益,最大回撤,平均回撤,胜率(天),超额年化收益,超额年化波动,信息比率,超额累计收益,超额最大回撤,超额平均回撤,超额胜率(天),超额年化收益_2021,超额年化收益_2022,超额年化收益_2023,超额年化收益_2024,超额年化收益_2025,超额年化波动_2021,超额年化波动_2022,超额年化波动_2023,超额年化波动_2024,超额年化波动_2025,信息比率_2021,信息比率_2022,信息比率_2023,信息比率_2024,信息比率_2025,source_file
0.3134582101,0.2992296408,0.0061697016,0.1033955861,0.011327189,0.0302597616,0.3450624542,0.19552955227406277,0.2521878767381961,0.775332878023506,0.7930678640235986,0.3959067625648741,0.0776773716007206,0.5414201183431953,0.16892608630947714,0.07764925195972547,2.1755017858651677,0.6851642060712393,0.10829585489330174,0.012310611163399822,0.5700197238658777,0.11551585935935384,0.24144850284895433,0.1412412212245106,0.14008449082131383,0.2141214096127266,0.07631563401849925,0.061626136957931434,0.06336124112412773,0.1025497378682242,0.07707325298465863,1.5136591714792316,3.917956158987819,2.2291422756036647,1.366015103825244,2.7781545649221178,diverse_efficient_parameters_ratio_score_trade_support7.json
0.3770275122,0.2934085126,0.0053917787,0.0116653509,0.008084689,0.0302667645,0.1128348923,0.15014019443945992,0.24112751925470485,0.6226588939475866,0.6089686286464494,0.3734498938054934,0.08112707001406232,0.5384615384615384,0.12353672847487428,0.04904538258618011,2.518824850796131,0.5010649706940901,0.054877779006818894,0.008447082868970234,0.571992110453649,0.13149545745353666,0.20446312969992883,0.09528187214859456,0.0865823954102408,0.0790861173251442,0.049265666718233535,0.04540203566327095,0.04135407554661021,0.059313794054038506,0.04708715011811546,2.66910946736197,4.503391240347712,2.3040503478599654,1.459734565813796,1.6795689933827198,diverse_efficient_parameters_ratio_score_trade_support7.json
0.4353540466,0.3839698282,0.0042334008,0.0484881017,0.0082059832,0.030218035,0.2708244662,0.15580004415672313,0.2448371345112819,0.6363415601465635,0.631924979099669,0.39244968625713417,0.08897116034804703,0.5315581854043393,0.1291965781921375,0.059054906481413684,2.187736563985576,0.5240213211473097,0.07269143830599367,0.010578304779307669,0.5779092702169625,0.07553098962224947,0.21570897438813416,0.08449012933448526,0.1137157962350812,0.15325713172112349,0.06012887217300938,0.04996698756308793,0.05156755895453999,0.07240241928993221,0.05869644180911402,1.256151776885544,4.317029801241904,1.6384356957630777,1.570607686183958,2.611012303259014,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2041355454,0.2203248882,0.0033508965,0.0899138867,0.0105495326,0.030526172,0.2148202921,0.17819902840989224,0.24927106226622342,0.714880527205257,0.7227752592305229,0.3860455746278646,0.07966974474907691,0.539447731755424,0.1515955624453066,0.06799244281618076,2.229594292635564,0.6148716012781635,0.09739268833286252,0.011038832695378293,0.5710059171597633,0.10029086388699647,0.213965843419089,0.12410541255539485,0.12877371698541304,0.2018418263866482,0.06408242048166374,0.052665094339256376,0.05820208762446014,0.09066085828876679,0.06634219482277628,1.5650292721963157,4.062763887609703,2.132318918801772,1.42038934349432,3.042435164013489,diverse_efficient_parameters_ratio_score_trade_support7.json
0.4073057662,0.1268027592,0.0060899525,0.0750626817,0.0116476054,0.030370304,0.3365080706,0.1689357321605452,0.25081664006934357,0.673542760615242,0.6852033296431713,0.4037254586274851,0.09029690383013753,0.5364891518737672,0.14233226619595957,0.06898056363047333,2.0633676894614683,0.577299671690812,0.09010689906448788,0.012694418545349704,0.5611439842209073,0.09609163549747507,0.2261261164119818,0.10186310579406391,0.10076527248241969,0.206328478703613,0.0693655232503377,0.057839587213014326,0.06049990714602781,0.08507683237424328,0.06916271153079014,1.3852938894540419,3.9095389041971202,1.6836902831635476,1.1844031996767903,2.9832329319789443,diverse_efficient_parameters_ratio_score_trade_support7.json
0.3205167715,0.4774201009,0.0063315802,0.0533614766,0.0189822879,0.0302509351,0.393968777,0.1642496884560752,0.24630837585910975,0.6668457289898548,0.666196736377841,0.39463257727182177,0.08876942688733203,0.5374753451676528,0.13764622249148956,0.0641021382831451,2.1472953348840473,0.5582930784254817,0.07726357613026025,0.011845197114298633,0.5532544378698225,0.07200936105108517,0.23933956127234737,0.08842730962516664,0.10936812000028319,0.18367024801659845,0.06541837465956621,0.05629659633725453,0.05495579219745506,0.07772833967100094,0.06358111490031605,1.1007513015390264,4.251403758737779,1.609062595393932,1.4070559137529923,2.888754755316275,diverse_efficient_parameters_ratio_score_trade_support7.json
0.4506666347,0.4359130146,0.0054138242,0.0555570669,0.005079828,0.030304477,0.2353322534,0.1692856863467001,0.24554314892545964,0.6894335561286246,0.6866227438222156,0.38530157849545654,0.0844826884318899,0.5355029585798816,0.14268222038211445,0.06315783883704347,2.2591371555675868,0.5787190858698562,0.07834505100629241,0.010874270715000809,0.5601577909270217,0.0771192785889757,0.2367496872074102,0.09844499084301159,0.1231948001874964,0.17592689578997478,0.06426039424423044,0.05474664026045785,0.053962413818276864,0.0773608036370808,0.06275608866138208,1.2001059049820533,4.324460571115789,1.8243251900208484,1.5924705328222097,2.8033438594179643,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2305449831,0.2754237526,0.0056519123,0.0382870545,0.0062125692,0.0303598923,0.0857410915,0.16782157186470123,0.24476431656877556,0.685645580276182,0.6806842954832282,0.37987672771834746,0.08013683901257158,0.5364891518737672,0.14121810590011558,0.058605618843843375,2.4096342413241283,0.5727806375308688,0.06715463774092478,0.009898910784195726,0.5710059171597633,0.09361206709512034,0.22725979836544766,0.09881269627691244,0.12153446746359474,0.1612975359742936,0.06092482815882207,0.053493126371101,0.050858994826075754,0.06872803775566443,0.05759027838005297,1.5365175401248148,4.248392527833668,1.9428755250634742,1.7683389695434468,2.8007771539121573,diverse_efficient_parameters_ratio_score_trade_support7.json
0.4421822341,0.4583200062,0.0056455641,0.0874388637,0.0089475413,0.030464138,0.0171520406,0.18165036204900395,0.2487159773865448,0.7303526052397106,0.73677386847076,0.3839113462528898,0.07663176285768532,0.5374753451676528,0.1550468960844183,0.07322904480736159,2.1172868838080445,0.6288702105184006,0.0974688220121046,0.011824172870135149,0.5660749506903353,0.09947335667455597,0.2245573089553075,0.13482344923773337,0.12479643994623235,0.19719723744538586,0.07167875905928743,0.05925985485325893,0.06085094662203939,0.09494744273553374,0.07410927394595745,1.3877661664354273,3.7893665030291284,2.215634377475767,1.3143738930793523,2.660898251265929,diverse_efficient_parameters_ratio_score_trade_support7.json
0.4261822631,0.2870986836,0.0060575314,0.0707759506,0.010918253,0.0345491466,0.3434856061,0.17607072209302954,0.24760035459906762,0.7111085215452779,0.7141428488093278,0.4020258137499,0.08422007161266645,0.5414201183431953,0.1494672561284439,0.07002405079915382,2.1345131340252324,0.6062391908569684,0.08892660971291622,0.01249096286278102,0.5552268244575936,0.07977458110918823,0.23300136864442078,0.11961469596419282,0.11579913526061433,0.21027099223139112,0.07224604253752687,0.05996187247518544,0.05981485103901408,0.08480006273123662,0.07207388475926997,1.104206933795035,3.885825425829486,1.9997491239453968,1.3655548301612166,2.917436640659869,diverse_efficient_parameters_ratio_score_trade_support7.json
